,model_year,mileage,engine_type,transmission,color,engine_capacity,body_type,price
0,2007.0,100000.0,2.0,0.0,8.0,1800.0,15.0,16.5
1,2012.0,100000.0,2.0,1.0,8.0,800.0,6.0,7.0
2,1995.0,999.0,2.0,1.0,1.0,1500.0,15.0,7.6
3,2013.0,94000.0,2.0,0.0,1.0,2700.0,14.0,70.0
4,2015.0,86000.0,2.0,1.0,8.0,796.0,6.0,8.0
5,2012.0,85000.0,2.0,0.0,17.0,1600.0,15.0,25.5
6,2011.0,97000.0,2.0,0.0,17.0,660.0,10.0,13.0
7,2018.0,56000.0,2.0,0.0,17.0,1500.0,8.0,36.0
8,2018.0,28000.0,2.0,0.0,1.0,1600.0,15.0,36.6
9,2006.0,125000.0,2.0,0.0,20.0,1000.0,6.0,15.75
10,2018.0,43000.0,2.0,1.0,20.0,1300.0,15.0,28.75
11,2016.0,96000.0,2.0,0.0,20.0,1800.0,15.0,36.2
12,1994.0,200000.0,0.0,1.0,2.0,2000.0,15.0,10.8
13,2008.0,114000.0,2.0,0.0,20.0,1800.0,15.0,16.5
14,2022.0,2100.0,2.0,1.0,17.0,1000.0,10.0,27.2
15,2004.0,190000.0,0.0,0.0,1.0,3200.0,14.0,42.0
16,2018.0,35500.0,2.0,0.0,7.0,1000.0,6.0,29.5
17,2017.0,38603.0,2.0,0.0,20.0,2400.0,15.0,90.75
18,2022.0,40.0,2.0,1.0,20.0,1200.0,1.0,35.85
19,2005.0,142964.0,2.0,1.0,17.0,1300.0,15.0,11.5
20,2014.0,149252.0,1.0,0.0,20.0,1500.0,6.0,33.0
21,1999.0,150000.0,2.0,0.0,14.0,1300.0,6.0,13.0
22,2016.0,46000.0,2.0,1.0,20.0,1800.0,15.0,32.0
23,2021.0,48000.0,2.0,0.0,9.0,2000.0,14.0,57.8
24,2007.0,180000.0,2.0,0.0,20.0,1800.0,15.0,37.0
25,2022.0,16.0,2.0,0.0,20.0,1500.0,15.0,65.2
26,2012.0,65000.0,2.0,1.0,20.0,1300.0,15.0,19.0
27,2015.0,106000.0,2.0,0.0,17.0,1300.0,15.0,31.7
28,2018.0,84000.0,2.0,1.0,20.0,1300.0,15.0,29.2
29,2021.0,68000.0,2.0,0.0,8.0,1000.0,6.0,35.0
30,2021.0,6500.0,2.0,1.0,20.0,1200.0,1.0,34.5
31,2003.0,165000.0,2.0,1.0,6.0,1500.0,15.0,15.5
32,2017.0,90000.0,2.0,0.0,20.0,1300.0,15.0,34.0
33,2017.0,83333.0,2.0,1.0,20.0,1000.0,6.0,16.0
34,2012.0,15600.0,2.0,1.0,20.0,800.0,10.0,7.5
35,2016.0,38500.0,2.0,1.0,17.0,796.0,6.0,8.8
36,2000.0,250000.0,2.0,1.0,20.0,1300.0,15.0,6.5
37,2020.0,39000.0,2.0,0.0,5.0,1800.0,15.0,50.25
38,2022.0,1200.0,2.0,0.0,20.0,1800.0,15.0,61.5
39,2018.0,65000.0,2.0,1.0,20.0,1000.0,6.0,20.0
40,2021.0,22000.0,2.0,1.0,20.0,660.0,6.0,21.1
41,2020.0,15000.0,2.0,1.0,20.0,1300.0,15.0,33.0
42,2015.0,145000.0,1.0,0.0,17.0,1500.0,6.0,33.95
43,2011.0,110000.0,2.0,0.0,17.0,1800.0,15.0,20.78
44,2018.0,87000.0,2.0,0.0,11.0,660.0,6.0,18.0
45,2022.0,409.0,2.0,0.0,20.0,1600.0,15.0,45.5
46,2018.0,30100.0,2.0,0.0,8.0,1000.0,6.0,38.25
47,2006.0,200000.0,2.0,1.0,20.0,1300.0,15.0,13.8
48,2018.0,81000.0,2.0,0.0,20.0,1600.0,15.0,37.75
49,2006.0,179000.0,2.0,0.0,17.0,1300.0,15.0,15.25
50,2018.0,53000.0,2.0,1.0,20.0,1300.0,15.0,34.5
51,2013.0,180000.0,0.0,1.0,20.0,3000.0,20.0,27.5
52,2019.0,32000.0,1.0,0.0,20.0,1500.0,6.0,58.5
53,2016.0,92500.0,2.0,0.0,20.0,1800.0,15.0,35.5
54,1999.0,90000.0,2.0,1.0,20.0,1300.0,15.0,12.9
55,2016.0,110000.0,2.0,1.0,20.0,1000.0,6.0,15.8
56,2013.0,107000.0,2.0,0.0,1.0,1800.0,15.0,26.5
57,2019.0,50000.0,2.0,1.0,20.0,796.0,6.0,11.75
58,2011.0,35000.0,2.0,1.0,2.0,1000.0,6.0,12.5
59,2014.0,100000.0,2.0,1.0,20.0,1300.0,15.0,24.5
60,2016.0,53000.0,2.0,1.0,17.0,1300.0,6.0,13.25
61,2007.0,172000.0,2.0,0.0,20.0,1500.0,20.0,21.5
62,2017.0,86000.0,2.0,1.0,20.0,1300.0,15.0,27.25
63,2012.0,107000.0,2.0,1.0,7.0,1300.0,15.0,22.25
64,2017.0,94000.0,2.0,1.0,20.0,796.0,6.0,11.25
65,2009.0,81000.0,2.0,0.0,16.0,1000.0,6.0,17.0
66,2018.0,48000.0,2.0,0.0,20.0,1300.0,15.0,30.25
67,2016.0,93000.0,1.0,0.0,17.0,1500.0,6.0,38.5
68,2018.0,34000.0,2.0,0.0,11.0,660.0,6.0,25.75
69,2013.0,148000.0,2.0,0.0,17.0,1800.0,15.0,27.0
70,2018.0,69000.0,2.0,1.0,20.0,1300.0,15.0,36.5
71,2011.0,102625.0,2.0,0.0,1.0,1800.0,15.0,19.6
72,2022.0,19.0,2.0,0.0,20.0,1200.0,6.0,40.25
73,2013.0,110000.0,2.0,0.0,8.0,1300.0,15.0,24.75
74,2016.0,26.0,1.0,0.0,20.0,1500.0,6.0,47.0
75,2017.0,1.0,2.0,1.0,17.0,1300.0,15.0,24.0
76,2015.0,110000.0,2.0,0.0,17.0,660.0,9.0,16.75
77,2016.0,81353.0,2.0,1.0,20.0,796.0,6.0,9.5
78,2019.0,37500.0,2.0,0.0,20.0,1600.0,15.0,38.0
79,2006.0,98000.0,2.0,0.0,17.0,1300.0,15.0,21.5
80,2022.0,7800.0,2.0,0.0,1.0,2000.0,14.0,56.95
81,2020.0,1950.0,2.0,1.0,20.0,660.0,6.0,19.5
82,2006.0,55000.0,2.0,1.0,20.0,1300.0,15.0,12.0
83,2018.0,75000.0,2.0,0.0,20.0,1300.0,6.0,22.75
84,2018.0,69000.0,2.0,1.0,20.0,1500.0,15.0,27.45
85,2014.0,107000.0,2.0,1.0,20.0,1300.0,15.0,21.5
86,2007.0,204000.0,2.0,0.0,8.0,1800.0,15.0,19.4
87,2003.0,150000.0,2.0,1.0,20.0,1600.0,15.0,17.0
88,2017.0,45000.0,2.0,1.0,20.0,1500.0,15.0,27.5
89,2015.0,145000.0,1.0,0.0,17.0,1500.0,6.0,33.95
90,2017.0,68000.0,2.0,0.0,20.0,1800.0,15.0,38.75
91,2022.0,10.0,2.0,0.0,1.0,1600.0,15.0,47.5
92,2008.0,45000.0,2.0,1.0,20.0,800.0,10.0,6.2
93,2022.0,10800.0,2.0,0.0,20.0,1500.0,15.0,40.25
94,2018.0,81000.0,2.0,1.0,20.0,1000.0,10.0,13.5
95,2015.0,70000.0,2.0,1.0,8.0,796.0,6.0,9.0
96,2021.0,16000.0,2.0,0.0,8.0,1500.0,15.0,40.5
97,2022.0,3300.0,2.0,1.0,20.0,1000.0,6.0,25.0
98,2008.0,80000.0,2.0,1.0,8.0,1000.0,6.0,8.75
99,2006.0,1224.0,2.0,1.0,4.0,1300.0,15.0,12.9
100,2012.0,100000.0,0.0,0.0,20.0,3000.0,5.0,58.0
101,2016.0,17500.0,2.0,0.0,17.0,1500.0,15.0,29.75
102,2011.0,248000.0,2.0,1.0,1.0,1300.0,15.0,19.5
103,2019.0,35000.0,2.0,0.0,20.0,1600.0,15.0,41.5
